"SUB_ID","QC_Left_Lateral","Comments_1","QC_Left_Medial","QC_Right_Lateral","QC_Right_Medial"
"sub-28968","","","","",""
"sub-28969","","","","",""
"sub-28970","","","","",""
"sub-28971","","","","",""
"sub-28972","","","","",""
"sub-28973","","","","",""
"sub-28974","","","","",""
"sub-28975","","","","",""
"sub-28976","","","","",""
"sub-28977","","","","",""
"sub-28978","","","","",""
"sub-28979","","","","",""
"sub-28980","","","","",""
"sub-28981","","some scalp","","",""
"sub-28982","","","","",""
"sub-28983","","","","",""
"sub-28984","","","","",""
"sub-28985","","","","",""
"sub-28986","","","","",""
"sub-28987","","","","",""
"sub-28988","","","","",""
"sub-28989","","","","",""
"sub-28990","","","","",""
"sub-28991","","","","",""
"sub-28992","","some scalp","","",""
"sub-28993","","","","",""
"sub-28994","","","","",""
"sub-28995","","some noise, some scalp","","",""
"sub-28996","","some noise","","",""
"sub-28997","","some scalp","","",""
"sub-28998","","some noise","","",""
"sub-28999","","","","",""
"sub-29000","","","","",""
"sub-29001","","","","",""
"sub-29002","","","","",""
"sub-29003","","","","",""
"sub-29004","","","","",""
"sub-29005","","","","",""
"sub-29006","","","","",""
"sub-29007","","","","",""
"sub-29008","","","","",""
"sub-29009","","","","",""
"sub-29010","","","","",""
"sub-29011","","","","",""
"sub-29012","","","","",""
"sub-29013","","","","",""
"sub-29014","","","","",""
"sub-29015","","","","",""
"sub-29016","","","","",""
"sub-29017","","","","",""
"sub-29018","","","","",""
"sub-29019","","","","",""
"sub-29020","","","","",""
"sub-29021","","","","",""
"sub-29022","","","","",""
"sub-29023","","","","",""
"sub-29024","","","","",""
"sub-29025","","","","",""
"sub-29026","","","","",""
"sub-29027","","","","",""
"sub-29028","","","","",""
"sub-29029","","","","",""
"sub-29030","","","","",""
"sub-29031","","","","",""
"sub-29032","","","","",""
"sub-29033","","","","",""
"sub-29034","","","","",""
"sub-29035","","","","",""
"sub-29036","","","","",""
"sub-29037","","","","",""
"sub-29038","","","","",""
"sub-29039","","","","",""
"sub-29040","","","","",""
"sub-29041","","","","",""
"sub-29042","","","","",""
"sub-29043","","","","",""
"sub-29044","","","","",""
"sub-29045","","","","",""
"sub-29046","","","","",""
"sub-29047","","","","",""
"sub-29048","","","","",""
"sub-29049","","","","",""
"sub-29050","","","","",""
"sub-29051","","","","",""
"sub-29052","2","scalp","","",""
"sub-29053","","","","",""
"sub-29054","","","","",""
"sub-29055","","","","",""
"sub-29056","","","","",""
"sub-29057","","","","",""
"sub-29058","","","","",""
"sub-29059","","","","",""
"sub-29060","","","","",""
"sub-29062","3","bad segmentation","3","3","3"
"sub-29063","","","","",""
"sub-29064","3","noise","3","3","3"
"sub-29065","","","","",""
"sub-29066","","","","",""
"sub-29067","3","bad segmentation","3","3","3"
"sub-29068","2","noise","","2","2"
"sub-29069","3","noise","3","3","3"
"sub-29070","2","noise","","",""
"sub-29071","","","","",""
"sub-29072","","","","",""
"sub-29073","","","","",""
"sub-29074","","","","",""
"sub-29075","3","noise","2","2","2"
"sub-29076","","","","",""
"sub-29077","","","","",""
"sub-29078","2","noise","2","2","2"
"sub-29079","3","noise","3","3","3"
"sub-29080","","","","",""
"sub-29081","","","","",""
"sub-29082","","","","",""
"sub-29083","","","","",""
"sub-29084","","","","",""
"sub-29085","","","","",""
"sub-29086","","","","",""
"sub-29087","","","","",""
"sub-29088","","","","",""
"sub-29089","","","","",""
"sub-29090","","","","",""
"sub-29091","","","","",""
"sub-29092","","","","",""
"sub-29093","","noise","","2","2"
"sub-29094","","","","",""
"sub-29096","","noise","","",""
"sub-29097","","noise","2","2","2"
"sub-29098","","noise","","2","2"
"sub-29099","","","","",""
"sub-29100","3","bad segmentation","3","3","3"
"sub-29101","","","","",""
"sub-29102","3","bad segmentation","3","3","3"
"sub-29103","","","","",""
"sub-29104","","","","",""
"sub-29105","","","","",""
"sub-29106","3","noise","3","3","3"
"sub-29107","","","","",""
"sub-29108","2","noise","3","2","2"
"sub-29109","","noise","2","","2"
"sub-29110","2","noise","2","","2"
"sub-29111","","","","",""
"sub-29112","","","","",""
"sub-29113","3","noise","3","3","3"
"sub-29114","","","","",""
"sub-29115","","","","",""
"sub-29116","","noise","","",""
"sub-29117","","some scalp","","",""
"sub-29118","","","","",""
"sub-29119","","","","",""
"sub-29120","","","","",""
"sub-29121","","some scalp","","",""
"sub-29122","","","","",""
"sub-29123","","","","",""
"sub-29124","","","","",""
"sub-29125","","noise","","",""
"sub-29126","","","","",""
"sub-29127","","","","",""
"sub-29128","","","","",""
"sub-29129","","","","",""
"sub-29130","","","","",""
"sub-29131","","","","",""
"sub-29132","","","","",""
"sub-29133","","","","",""
"sub-29134","","noise","2","2",""
"sub-29135","","","","",""
"sub-29136","","","","",""
"sub-29137","3","bad segmentation","3","3","3"
"sub-29150","","noise","","2",""
"sub-29151","","noise","","2",""
"sub-29152","","","","",""
"sub-29153","","","","",""
"sub-29154","","","","",""
"sub-29155","","","","",""
"sub-29156","","","","",""
"sub-29157","","","","",""
"sub-29158","","noise","","2",""
"sub-29159","","","","",""
"sub-29160","","","","",""
"sub-29161","3","occipital cut","","3","3"
"sub-29162","","noise","","2",""
"sub-29163","","noise","2","3","2"
"sub-29164","","","","",""
"sub-29165","","","","",""
"sub-29166","","","","",""
"sub-29167","","","","",""
"sub-29168","","","","",""
"sub-29169","","","","",""
"sub-29170","","noise","","2",""
"sub-29171","","","","",""
"sub-29172","","","","",""
"sub-29173","","noise","2","",""
"sub-29174","","noise","2","2","2"
"sub-29175","","","","",""
"sub-29176","","","","",""
"sub-29177","","","","",""
"sub-29178","","noise","","2","2"
"sub-29179","2","noise","3","3","3"
"sub-29180","3","noise","3","3","3"
"sub-29181","","","","",""
"sub-29182","","noise","","2",""
"sub-29183","","","","",""
"sub-29184","","","","",""
"sub-29185","","","","",""
"sub-29186","","","","",""
"sub-29187","","","","",""
"sub-29188","","","","",""
"sub-29189","","","","",""
"sub-29190","","","","",""
"sub-29191","","","","",""
"sub-29192","","","","",""
"sub-29193","","noise","","2",""
"sub-29194","","","","",""
"sub-29195","","noise","","3","2"
"sub-29196","","","","",""
"sub-29197","","","","",""
"sub-29198","","","","",""
"sub-29199","2","noise","","2",""
"sub-29200","","","","",""
"sub-29201","","","","",""
"sub-29202","","","","",""
"sub-29203","","","","",""
"sub-29204","","","","",""
"sub-29205","","","","",""
"sub-29206","","noise","","2",""
"sub-29207","3","noise","3","3","3"
"sub-29208","2","noise","","3","2"
"sub-29209","2","noise","3","2","2"
"sub-29210","","","","",""
"sub-29211","","","","",""
"sub-29212","","","","",""
"sub-29213","","","","",""
"sub-29214","","","","",""
"sub-29215","","","","",""
"sub-29216","2","noise","","2",""
"sub-29217","2","noise","","2",""
"sub-29218","","","","",""
"sub-29219","","noise","","2",""
"sub-29220","","","","",""
"sub-29221","","","","",""
"sub-29222","","noise","","2","2"
"sub-29223","2","noise","","2","2"
"sub-29224","","","","",""
"sub-29225","2","noise","","2",""
"sub-29226","","","","",""
"sub-29227","","","","",""
"sub-29228","","noise","","2",""
"sub-29229","","","","",""
"sub-29230","","","","",""
"sub-29231","","","","",""
"sub-29232","","noise","","2","2"
"sub-29233","","","","",""
"sub-29234","2","noise","","2","2"
"sub-29235","","","","",""
"sub-29236","","","","",""
"sub-29237","","","","",""
"sub-29238","","","","",""
"sub-29239","","","","",""
"sub-29240","","","","",""
"sub-29241","","","","",""
"sub-29242","","","","",""
"sub-29243","","","","",""
"sub-29244","","","","",""
"sub-29245","","","","",""
"sub-29246","","","","",""
"sub-29247","","noise","","2","2"
"sub-29248","","","","",""
"sub-29249","","","","",""
"sub-29250","","","","",""
"sub-29251","","","","",""
"sub-29252","","","","",""
"sub-29253","","","","",""
"sub-29254","","","","",""
"sub-29273","","noise temporal","","2",""
"sub-29274","2","noise","2","2","2"
"sub-29275","","","","",""
"sub-29276","","","","",""
"sub-29277","","","","",""
"sub-29278","","","","",""
"sub-29279","","","","",""
"sub-29280","","","","",""
"sub-29281","","noise","","2",""
"sub-29282","3","bad segmentation","3","3","3"
"sub-29283","","","","",""
"sub-29284","","","","",""
"sub-29285","2","noise temporal","2","3","3"
"sub-29286","","some scalp","","",""
"sub-29287","","","","",""
"sub-29288","","noise","","",""
"sub-29289","","","","",""
"sub-29290","3","bad segmentation","3","3","3"
"sub-29291","","","","",""
"sub-29292","3","bad segmentation","3","3","3"
"sub-29293","2","noise","2","2","2"
"sub-29294","","","","",""
"sub-29295","3","bad segmentation","3","3","3"
"sub-29296","","","","",""
"sub-29297","","","","",""
"sub-29298","","","","",""
"sub-29299","","some scalp","","",""
"sub-29300","","","","",""
"sub-29301","","","","",""
"sub-29302","","","","",""
"sub-29303","","noise temporal","2","2",""
"sub-29304","","","","",""
"sub-29305","","","","",""
"sub-29306","","","","",""
"sub-29307","","","","",""
"sub-29308","","noise","","",""
"sub-29309","","some scalp","","",""
"sub-29310","","","","",""
"sub-29311","2","noise","2","2","2"
"sub-29312","","","","",""
"sub-29313","","","","",""
"sub-29314","","","","",""
"sub-29315","","","","",""
"sub-29316","","","","",""
"sub-29317","","","","",""
"sub-29318","","","","",""
"sub-29319","","","","",""
"sub-29320","","","","",""
"sub-29321","","","","",""
"sub-29322","","","","",""
"sub-29323","","","","",""
"sub-29324","","","","",""
"sub-29325","","","","",""
"sub-29326","","","","",""
"sub-29327","","","","",""
"sub-29328","","","","",""
"sub-29329","","","","",""
"sub-29330","2","noise","","",""
"sub-29331","","","","",""
"sub-29332","","","","",""
"sub-29333","","","","",""
"sub-29334","","","","",""
"sub-29335","","","","",""
"sub-29336","","","","",""
"sub-29337","","","","",""
"sub-29338","","","","",""
"sub-29339","","","","",""
"sub-29340","","","","",""
"sub-29341","","","","",""
"sub-29342","","","","",""
"sub-29343","","","","",""
"sub-29344","","","","",""
"sub-29345","","","","",""
"sub-29346","","","","",""
"sub-29347","","","","",""
"sub-29348","","","","",""
"sub-29349","","","","",""
"sub-29350","","","","",""
"sub-29351","","","","",""
"sub-29352","3","bad segmentation","3","3","3"
"sub-29353","","","","",""
"sub-29354","","","","",""
"sub-29355","","","","",""
"sub-29356","","some scalp","","",""
"sub-29357","","","","",""
"sub-29358","","","","",""
"sub-29359","","","","",""
"sub-29360","3","bad segmentation","3","3","3"
"sub-29361","2","noise","","2","2"
"sub-29362","","","","",""
"sub-29363","3","noise","2","3","3"
"sub-29364","","","","",""
"sub-29365","2","temporal","2","",""
"sub-29366","","","","",""
"sub-29367","","","","",""
"sub-29368","","","","",""
"sub-29369","","","","",""
"sub-29370","","noise","2","2","2"
"sub-29371","","","","",""
"sub-29372","3","noise","3","3","3"
"sub-29373","","","","",""
"sub-29374","3","noise","3","3","3"
"sub-29375","","","","",""
"sub-29376","","","","",""
"sub-29377","","","","",""
"sub-29378","","","","",""
"sub-29379","","","","",""
"sub-29380","","","","",""
"sub-29381","","","","",""
"sub-29382","2","noise","","2",""
"sub-29383","","","","",""
"sub-29384","","","","",""
"sub-29385","2","noise","2","2",""
"sub-29386","","","","",""
"sub-29387","","","","",""
"sub-29388","","","","",""
"sub-29389","","","","",""
"sub-29390","2","noise temporal","","3","3"
"sub-29391","3","noise","2","3","3"
"sub-29392","","","","",""
"sub-29393","2","noise","2","2","2"
"sub-29394","3","noise","2","3","3"
"sub-29395","","","","",""
"sub-29396","","","","",""
"sub-29397","","","","",""
"sub-29398","3","bad segmentation","3","3","3"
"sub-29399","","","","",""
"sub-29400","","","","",""
"sub-29401","","","","",""
"sub-29402","","","","",""
"sub-29403","","","","",""
"sub-29404","","","","",""
"sub-29405","","","","",""
"sub-29407","","","","",""
"sub-29408","2","noise","2","3","2"
"sub-29409","","","","",""
"sub-29410","","noise","2","2",""
"sub-29411","2","noise, temporal","2","2",""
"sub-29412","","temporal","2","",""
"sub-29413","","noise temporal","","2",""
"sub-29414","","","","",""
"sub-29415","","","","",""
"sub-29416","3","noise","3","3","3"
"sub-29417","2","noise temporal","2","3",""
"sub-29418","3","noise","3","3","3"
"sub-29419","","","","",""
"sub-29420","","","","",""
"sub-29421","","","","",""
"sub-29422","","temporal","","2",""
"sub-29423","","","","",""
"sub-29424","2","noise","2","3",""
"sub-29425","","","","",""
"sub-29427","","","","",""
"sub-29428","","","","",""
"sub-29429","","","","",""
"sub-29430","","","","",""
"sub-29431","","","","",""
"sub-29432","","","","",""
"sub-29433","","","","",""
"sub-29434","","","","",""
"sub-29435","","","","",""
"sub-29436","2","noise","2","2","2"
"sub-29437","","","","",""
"sub-29438","","","","",""
"sub-29439","","","","",""
"sub-29440","","","","",""
"sub-29441","","","","",""
"sub-29442","","","","",""
"sub-29443","","","","",""
"sub-29444","2","temporal","","3","3"
"sub-29445","","","","",""
"sub-29446","","","","",""
"sub-29447","2","noise","","2",""
"sub-29448","","temporal","","2",""
"sub-29449","3","temporal","2","2",""
"sub-29450","2","noise","","2",""
"sub-29451","","","","",""
"sub-29452","2","noise","2","2",""
"sub-29453","","","","",""
"sub-29454","2","temporal","2","2","2"
"sub-29455","","","","",""
"sub-29456","","","","",""
"sub-29457","","","","",""
"sub-29458","3","noise","3","3","3"
"sub-29459","","","","",""
"sub-29460","","","","",""
"sub-29461","3","temporal","3","3","3"
"sub-29462","","","","",""
"sub-29463","","","","",""
"sub-29464","","","","",""
"sub-29465","","","","",""
"sub-29466","2","noise","","2",""
"sub-29467","","","","",""
"sub-29468","","noise","","2",""
"sub-29469","","","","",""
"sub-29470","","","","",""
"sub-29471","","temporal","","2",""
"sub-29472","","","","",""
"sub-29473","","","","",""
"sub-29474","","","","",""
"sub-29475","","","","",""
"sub-29476","","","","",""
"sub-29477","","","","",""
"sub-29478","","","","",""
"sub-29479","","","","",""
"sub-29480","2","noise","","2",""
"sub-29481","","","","",""
"sub-29482","","","","",""
"sub-29483","","","","",""
"sub-29484","","","","",""
"sub-29485","","","","",""
"sub-29495","","","","",""
"sub-29496","","","","",""
"sub-29497","","","","",""
"sub-29498","","","","",""
"sub-29499","","","","",""
"sub-29500","","","","",""
"sub-29501","","","","",""
"sub-29502","","","","",""
"sub-29503","2","noise","","2","2"
"sub-29504","2","noise","2","2","2"
"sub-29505","","","","",""
"sub-29506","","","","",""
"sub-29507","","","","",""
"sub-29508","","","","",""
"sub-29509","","","","",""
"sub-29510","","","","",""
"sub-29511","","","","",""
"sub-29512","","","","",""
"sub-29513","","","","",""
"sub-29514","","","","",""
"sub-29515","","","","",""
"sub-29516","","","","",""
"sub-29517","","","","",""
"sub-29518","","","","",""
"sub-29519","","","","",""
"sub-29520","","","","",""
"sub-29521","","","","",""
"sub-29522","","","","",""
"sub-29523","","","","",""
"sub-29524","","","","",""
"sub-29525","","","","",""
"sub-29526","","","","",""
"sub-29527","2","noise","2","3","2"
"sub-29538","3","noise temporal","3","3","2"
"sub-29539","2","noise temporal","2","2","2"
"sub-29540","2","noise","2","2","3"
"sub-29541","2","noise temporal","2","2","2"
"sub-29542","3","noise temporal","3","3","3"
"sub-29543","3","noise temporal","3","2","3"
"sub-29544","2","noise temporal","2","2","2"
"sub-29545","3","noise temporal","3","3","3"
"sub-29546","3","temporal","2","3","2"
"sub-29547","3","temporal","2","2","2"
"sub-29548","3","temporal","2","2","2"
"sub-29549","3","temporal","2","3","2"
"sub-29550","","","","",""
"sub-29551","2","noise","2","2","2"
"sub-29552","2","temporal","2","2","2"
"sub-29553","3","frontal cut, noise, temporal","3","3","3"
"sub-29554","","noise","2","","2"
"sub-29555","","","","",""
"sub-29556","","","","",""
"sub-29557","","","","",""
"sub-29558","2","noise temporal","2","2","2"
"sub-29559","2","temporal","2","3","2"
"sub-29560","","","","",""
"sub-29562","2","temporal","2","2","2"
"sub-29563","3","temporal","3","3","2"
"sub-29564","","","","",""
"sub-29565","3","noise","3","3","3"
"sub-29566","3","temporal","3","3","3"
"sub-29567","","","","",""
"sub-29568","2","temporal","","",""
"sub-29569","2","temporal","","3","2"
"sub-29570","","","","",""
"sub-29571","3","temporal","3","",""
"sub-29572","3","noise","3","3","3"
"sub-29573","","","","",""
"sub-29574","","temporal","","3","3"
"sub-29575","","","","",""
"sub-29577","2","temporal noise","2","3","3"
"sub-29580","","","","",""
"sub-29581","","","","",""
"sub-29582","","","","",""
"sub-29583","","","","",""
"sub-29584","3","noise scalp incomplete temporal","3","2","3"
"sub-29585","","","","",""
"sub-29586","","","","",""
"sub-29587","3","incomplete temporal","3","",""
"sub-29588","3","noise, incomplete temporal","2","2","3"
"sub-29589","","","","",""
"sub-29590","","","","",""
"sub-29591","3","noise","3","3","3"
"sub-29592","3","incomplete temporal","","",""
"sub-29593","","","","",""
"sub-29594","","","","",""
"sub-29595","3","incomplete temporal","3","3","3"
"sub-29596","","","","",""
"sub-29597","","","","",""
"sub-29598","","incomplete temporal","","3","3"
"sub-29600","","","","",""
"sub-29601","","","","",""
"sub-29602","","","","",""
"sub-29603","","","","",""
"sub-29604","","","","",""
"sub-29605","","","","",""
"sub-29606","","","","",""
"sub-29607","","","","",""
"sub-29608","","","","",""
"sub-29609","3","noise","2","2","2"
"sub-29610","","","","",""
"sub-29611","","incomplete temporal","","3",""
"sub-29612","","","","",""
"sub-29613","3","incomplete temporal","3","3",""
"sub-29614","2","noise","","",""
"sub-29615","3","noise","2","3","2"
"sub-29616","","","","",""
"sub-29617","3","bad cut","3","3","3"
"sub-29618","2","noise","","2",""
"sub-29619","","","","",""
"sub-29620","","","","",""
"sub-29621","3","noise","2","3","2"
"sub-29622","2","some scalp","2","2","2"
"sub-29623","3","noise","3","3","3"
"sub-29624","","incomplete temporal","","3",""
"sub-29625","","","","",""
"sub-29626","3","noise","3","3","3"
"sub-29627","2","noise","","",""
"sub-29628","3","noise","3","3","3"
"sub-29629","2","noise","","2",""
"sub-29630","3","noise","3","3","3"
"sub-29631","","","","",""
"sub-29632","3","noise","3","3","3"
"sub-29633","2","noise, some scalp","2","",""
"sub-29634","3","noise, incomplete temporal","3","3","2"
"sub-29635","","","","",""
"sub-29656","","","","",""
"sub-29657","2","some scalp","","2",""
"sub-29658","3","scalp","3","3","2"
"sub-29659","2","scalp","","",""
"sub-29660","","","","",""
"sub-29661","2","scalp","","3",""
"sub-29662","","","","",""
"sub-29664","3","scalp","","2",""
"sub-29665","","","","",""
"sub-29666","","","","",""
"sub-29667","2","some scalp","","",""
"sub-29668","","","","",""
"sub-29669","3","noise","2","3","3"
"sub-29670","","","","",""
"sub-29671","","scalp","","2",""
"sub-29674","","scalp","","2","2"
"sub-29675","2","some scalp","2","2","2"
"sub-29676","2","some scalp","","3","2"
"sub-29677","2","some scalp","","3","2"
"sub-29678","3","scalp","","3","3"
"sub-29679","","","","",""
"sub-29728","3","noise","3","3","3"
